hindi,eng
जरवल, Jarwal
ऐरायां, Airayan
आकू नहटौर, Aku Nahtaur
अवागढ़, Awagadh
मवई, Mavai
कटेहरी, Katehri
नकहा, Nakha
गुन्नौर, Gunnaur
कासिमाबाद, Kasimabad
भरथना, Bharatna
बनीकोडर, Banikoder
बंकी, Banki
औरैया, Auraiya
पहासू, Pahasu
बड़राव, Badhrav
मलिहाबाद, Malihabaad
गजरौला, Gajraula
सिरसिया, Sirsiya
हैदरगढ़, Haidarganj
अहिरोरी, Ahirorhi
बागपत, Bagpat
सिंहपुर, Singhpur
कलान, Kalan
मुहम्मदाबाद, Muhammadabad
कालाकांकर, Kalakankar
रामपुर, Rampur
मलवां, Malwan
विसरख, Visarkh
रतनपुरा, Ratanpura
घोसी, Ghosi
तालगाम, Taalgaam
काँट, Kant
हरैया, Haraiya
दूबेपुर, Dubepur
सकीट, Sakit
बक्शा, Baksha
बहादुरपुर, Bahadurpur
उतरौला, Utrauala
दमखोदा, Damkhoda
सहपऊ, Sahpau
फतेहपुर सीकरी, Fatehpur Seekri
शाहपुर, Shahpur
ललौरी खेड़ा, Lalauri Kheda
अमानीगंज, Amaniganj
बनकटी, Bankati
सेमरियावा, Semriyawa
उसावाँ, Usawan
कोयलसा, Koilsa
मथुरा, Mathura
तिलहर, Tilhar
बेंहदर, Benhadar
टोडरपुर, Todarpur
मोहनलालगंज, Mohanlalganj
करनैलगंज, Karnailganj
विरधा, Viradha
मांडा, Manda
सिरकोनी, Sirkoni
सॉथा, Sautha
कुडेभार, Kudebhar
छपरौली, Chhaparauli
खेकडा, Khekhada
कादरचौक, Kadarchauk
सलोन, Salon
ज्ञानपुर, Gyanpur
फरह, Farah
समरेर, Samrer
फाजिलनगर, Fazilnagar
कमासिन, Kamasin
अरांव, Aaraon
बिलसण्डा, Bilsanda
राठ, Raath
पयागपुर, Payagpur
भगतपुर टाण्डा, Bhagatpur Tanda
चोलापुर, Cholapur
माछरा, Machhara
बड़हलगंज, Badhalaganj
टूण्डला, Tundla
संडवा चंद्रिका, Sandwaa Chandrika
कोतवाली, Kotwali
शाहगंज सोधी, Shahganj Sodhi
विरनो, Virano
नौहझील, Nauhajheel
कौधियारा, Kaudhiyara
शहाबगंज, Shahababganj
विजयीपुर, Vijayipur
नूरपुर, Noorpur
दादरी, Dadri
पन्दह, Pandah
देवमई, Devmai
मान्धाता, Mandhaata
धनीपुर, Dhanipur
बी . बी . नगर, B. B. Nagar
भदौरा, Bhadaura
सुमेरपुर, Sumerpur
महाराजगंज सदर, Maharajganj Sadar
गुलावटी, Gulawati
बुढ़ाना, Budhana
बाजार शुक्ल, Bajar Shukla
एका, Eka
नौतनवा, Nautanwa
खोराबार, Khorabaar
अभोली, Abholi
बेलहरी, Belhari
फतहपुर मण्डाव, Fatehpur Mandaav
घोरावल, Ghorawal
बलियाखेडी, Baliyakhedi
मौदहा, Maudha
घिरोर, Ghiror
मुजफ्फराबाद, Muzaffarabad
सिम्भावली, Simbhavli
पिण्ड्रा, Pindra
गोला ( कुम्भी ), Gola ( Kumbhi )
डुमरियागंज, Dumriaganj
जमानियां, Jamaniya
मेहनगर, Mehnagar
निधौली कलॉ, Nidhauli Kala
मरदह, Mardan
गुगरापुर, Gugapur
परसेंण्डी, Parsendi
गैंसडी, Gainsadi
दोहरीघाट, Dohrighat
माल, Maal
काकोरी, Kakori
रेवती, Revati
मझवां, Majhwan
सीखड़, Seekhar
कोथावाँ, Kothawan
गौरीबाजार, Gauribazar
सासनी, Sasni
बांकेगंज, Bankeganj
सुजानगंज, Sujanganj
सरसावा, Sarsawa
जसरा, Jasra
पटेहरा कलाँ, Patehera Kala
जुनावई, Junavi
मनियर, Maniyar
सिंधौली, Sindhauli
NA, NA
बरसठी, Barsathi
मदनापुर, Madanapur
डोभी, Dobhi
शाहगढ, Shahgadh
पिसावाँ, Pisawan
सिराथू, Sirathu
चरथावल, Charthaawal
बिलरियागंज, Bilriaganj
गोहाण्ड, Gohand
वजीरगंज, Vazirganj
शमशाबाद, Shamshabaad
खतौली, Khatauli
विशुनपुरा, Vishunpura
चिरईगांव, Chiraigaon
चिलकहर, Chilakhar
कोन ( चील्ह ), Kon ( Cheelha )
हसनगंज, Hasanganj
मछलीशहर, Machhalishahr
वभनी, Vabhni
नानोता, Nanota
अछल्दा, Achhaldaa
छतोह, Chhatoh
बासडीह, Baasadeeh
काशीविद्यापीठ, Kashividyapeeth
बिलग्राम, Bilgraam
कोचं, Kochan
बिसवाँ, Biswan
साण्डी, Sandi
चरगावॉ, Chargaawon
जखौरा, Jakhora
बांगरमऊ, Bangarmau
अजीतमल, Ajitmal
मनकापुर, Mankapur
शीतलपुर, Sheetal pur
पुरवा, Purwa
नौगढ़, Naugadh
बाबा बेलखरनाथ धाम, Baabaa Belkharnath Dhaam
खैर, Khair
सरीला, Sarila
पूराबाजार, Puraabaajaar
नरैनी, Naraini
तिन्दवारी, Tindwaari
रामपुरा, Rampura
रसड़ा, Rasadaa
शिवगढ़, Shivgadh
अतरौली, Atrauli
धनपत गंज, Dhanpat Ganj
अकोला, Akolaa
जैतीपुर, Jaitipur
मीरगंज, Mirganj
बड़ोखर खुर्द, Badokhar Khurd
नकुड, Nakud
मवाना, Mawana
जागीर, Jagir
सोरों, Soraun
हरहुआ, Harhua
रमियाबेहड़, Ramiyabehar
शंकरगढ़, Shankargadh
किशनी, Kishni
राही, Rahi
भोजपुर, Bhojpur
भनवापुर, Bhanwapur
आलमपुर जाफराबाद, Alampur Jafrabaad
जॅ o कौड़िया, J. O. Kauriya
पहाडी, Pahadi
भलुअनी, Bhaluani
लखीमपुर, Lakhimpur
भागलपुर, Bhagalpur
गंज मुरादाबाद, Ganj Muradadaad
कौड़ीराम, Kauriram
भीटी, Bhiti
सहजनवा, Sahjanwa
भीतर गाँव, Bhitar Gaon
नगरा, Nagara
भुता, Bhuta
लोटन बाजार, Lotan Bazar
भेटुआ, Bhetua
हंडिया, Handiya
लहरपुर, Laharpur
पथरदेवा, Pathardevaa
हाटा, Hata
शाहाबाद, Shahabaad
मऊ, Mau
शिकोहाबाद, Shikohabad
हरचन्दपुर, Harchandpur
कटरा - खुदागंज, Katra - Khudaganj
सेवरही, Sewarhi
बस्ती, Basti
माधौगढ, Madhaugadh
मऊरानीपुर, Mauranipur
कुरारा, Kurara
बिछिया, Bichiya
बबेरू, Babeeru
मगरौरा, Magraura
बसखारी, Baskhari
धनूपुर, Dhanupuur
रजपुरा, Rajpura
राजेपुर, Rajepur
छपिया, Chhapiya
जसपुरा, Jaspura
मोठ, Moth
तमकुहीराज, Tamkuhiraj
सैदाबाद, Saidabad
सिकन्द्राबाद, Sikandrabaad
बाबागंज, Baabaganj
मुजेहना, Mujehna
जहांगीरगंज, Jahangirgan
बघरा, Baghra
हस्तिनापुर, Hastinaapur
बावन, Baawan
ठाकुरद्वारा, Thakurdwara
कासगंज, Kasganj
हनुमानगंज, Hanumanganj
इस्लामनगर, Islamnagar
मितौली, Mitauli
पवई, Pavai
कुण्डा, Kundaa
मिर्जापुर, Mirzaapur
अल्हैपुर धामपुर, Alhaipur Dhampur
ब्रजमनगंज, Brajamangnaj
जखनियाँ, Jakhniya
सौरिख, Saurkh
मझगवां, Majhgawaon
रेउसा, Reusaa
पनियरा, Paniyara
महसी, Mahasi
अरनियां, Arniyaan
खरखौदा, Kharkhauda
सैंया, Sainya
मुरली छपरा, Murli Chhapra
अखण्डनगर, Akhandnagar
आसफपुर, Aasfpur
मुढा पाण्डेय, Mudhaa Pandey
दीनशाहगौरा, Deenshaahgaura
खलीलाबाद, Khalilabad
हसेरन, Haseran
मिठौरा, Mithaura
तेलियानी, Teliyani
अफजलगढ, Afzalgarah
सरोजनीनगर, Sarojninagar
जैतपुर, Jaitpur
कमालगंज, Kamalganj
बहजोई, Bahjoi
राजपुर, Rajpur
खैरागढ़, Khairaagarah
रोहनिया, Rohniya
अजमतगढ़, Ajmatgarah
फिरोजाबाद, Firozabaaad
जगत, Jagat
मुसाफिरखाना, Musafirkhana
राजगढ़, Rajgadh
बछरावां, Bachhrawan
छजलैट, Chhajlait
रूद्रपुर, Rudrpur
बरखेड़ा, Barkhedaa
घुघली, Ghughli
बीकापुर, Bikapur
निघासन, Nighassan
बीघापुर, Bighapur
शिवगढ, Shivgadh
सैदपुर, Saidpur
चरखारी, Charkhari
मानिकपुर, Manikpur
खजनी, Khajni
रूधौली, Rudhauli
विधूना, Vidhuna
घाटमपुर, Ghaatampur
चिनहट, Chinhat
तहबरपुर, Tahbarpur
लखावटी, Lakhawati
कुरावली, Kurawli
बेलहर कला, Belhar Kala
बार, Baar
सकरन, Sakaran
कर्वी ( चित्रकूट ), Karvi ( Chitrakut )
दुदही, Dudhi
रामपुर कारखाना, Rampur Kaarkhana
ददरौल, Dadraul
प्रतापपुर, Pratappur
मिश्रिख, Mishrikh
ईसानगर, Isanagar
करहल, Karhal
पौली, Pauli
शेरगढ़, Shergadh
अम्बियापुर, Ambiyapur
अमरौधा, Amraudha
जलेसर, Jalesr
चोपन, Chopan
मियागंज, Miyaganj
राया, Raya
रामपुर मनिहारन, Rampur Maniharan
पुरकाजी, Purkaji
लक्ष्मणपुर, Lakshamanpur
खीरो, Khiro
मरौरी, Marauri
सन्दलपुर, Sandlpur
मियांव, Miyan
डिलारी, Dilari
धर्मापुर, Dharmapur
सरसौल, Sarasaul
नियमताबाद, Niyamtabad
बढ . पुरा, Badh. Pura
गौरीगंज, Gauriganj
डीघ, Deegh
भरखनी, Bharkhni
शिकारपुर, Shikarpur
सरेनी, Sareni
जयसिंहपुर, Jaysinghpur
गोसाईगंज, Gosaiganj
